reportDate,accountsPayable,capitalSurplus,commonStock,currentAssets,currentCash,currentLongTermDebt,goodwill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,propertyPlantEquipment,receivables,retainedEarnings,shareholderEquity,shortTermInvestments,totalAssets,totalCurrentLiabilities,totalLiabilities,treasuryStock,symbol
2019-06-30,9382000000.0,,78520000000,175552000000.0,11356000000,5516000000,42026000000.0,7750000000.0,2063000000,72850000000.0,2649000000.0,0.0,60304000000.0,14723000000,10146000000.0,48857000000.0,41723000000,43856000000.0,29524000000.0,24150000000.0,102330000000.0,122463000000,286556000000.0,69420000000.0,184226000000.0,,MSFT
2019-06-30,3925000000.0,47936305950,694050,147437000000.0,16587000000,,18000000000.0,1902000000.0,964000000,13162000000.0,12112000000.0,0.0,150583000000.0,2461000000,4100000000.0,32539000000.0,12855000000,74604000000.0,20965000000.0,145346000000.0,192192000000.0,104469000000,257101000000.0,37000000000.0,64909000000.0,,GOOG
2019-06-30,1215000000.0,44277000000,,57961000000.0,13886000000,43000000,18334000000.0,994000000.0,,7473000000.0,112000000.0,0.0,47428000000.0,2334000000,1843000000.0,11033000000.0,3262000000,37271000000.0,7513000000.0,44968000000.0,88762000000.0,34719000000,117006000000.0,12979000000.0,28244000000.0,,FB
2019-06-30,42082000000.0,125109000000,7621000000,47218000000.0,,12625000000,146662000000.0,160759000000.0,,178505000000.0,4133000000.0,261000000.0,37595000000.0,33418000000,16414000000.0,9460000000.0,28176000000,154724000000.0,22381000000.0,59389000000.0,184257000000.0,,546914000000.0,66229000000.0,352833000000.0,11151000000,T
2019-04-30,2022000000.0,,40577000000,47311000000.0,10251000000,7777000000,33544000000.0,2398000000.0,1513000000,15921000000.0,715000000.0,0.0,-34771000000.0,1600000000,2331000000.0,17161000000.0,16649000000,2834000000.0,3795000000.0,-2877000000.0,36804000000.0,24392000000,97287000000.0,27913000000.0,60483000000.0,,CSCO
2019-03-31,18664000000.0,13418000000,429000000,31167000000.0,3413000000,8614000000,24635000000.0,103845000000.0,1417000000,124016000000.0,1549000000.0,128000000.0,-112561000000.0,11546000000,1098000000.0,8332000000.0,11632000000,110954000000.0,24469000000.0,46493000000.0,55856000000.0,,283947000000.0,38607000000.0,226487000000.0,6825000000,VZ
2019-06-30,4682000000.0,,25140000000,29239000000.0,2867000000,,24583000000.0,11249000000.0,8696000000,25762000000.0,8206000000.0,0.0,50364000000.0,4914000000,2309000000.0,11119000000.0,8562000000,52061000000.0,6233000000.0,50429000000.0,74947000000.0,9077000000,130759000000.0,19705000000.0,55812000000.0,,INTC
2019-03-31,897514641.2290521,785655067.244204,8413354909.88141,32164462451.9395,20949385214.38649,1560649567.65789,188436560.08176398,394747262.37406904,3526301714.7677703,1693922324.4269202,974630943.690076,-212220.075271454,54531753313.54132,762093740,502550575.104233,5846546000.22711,124912090,35938800992.8457,3463310783.4071503,37579480378.319595,56548259243.0363,3721334890.7383103,70973436024.72379,12273247805.8435,14403373825.8627,28974.2217030872,TSM
2019-05-31,580000000.0,,26909000000,46386000000.0,20514000000,4494000000,43779000000.0,5279000000.0,320000000,51673000000.0,,0.0,-78461000000.0,4317000000,2329000000.0,13556000000.0,15756000000,6252000000.0,5134000000.0,-3496000000.0,21785000000.0,17313000000,108709000000.0,18630000000.0,86346000000.0,,ORCL
2019-06-30,1676313600.0,620646000,1399585200,15431878800.0,5885318400,,32798578800.000004,5386523999.999997,,16019499600.0,2266212000,14607491.1949936,-1389336000.0000029,2032758000,1836884400.0,11591845200.0,1512326400,6155214000.0,6710948400.0,29576913600.0,31409242800.0,,65716731600.0,16185764400.0,34239160799.999996,1799304000,SAP
