,EBITDA,avg10Volume,avg30Volume,beta,companyName,currentDebt,day200MovingAvg,day30ChangePercent,day50MovingAvg,day5ChangePercent,debtToEquity,dividendYield,employees,enterpriseValue,enterpriseValueToRevenue,exDividendDate,float,forwardPERatio,grossProfit,marketcap,maxChangePercent,month1ChangePercent,month3ChangePercent,month6ChangePercent,nextDividendDate,nextEarningsDate,peHigh,peLow,peRatio,pegRatio,priceToBook,priceToSales,profitMargin,revenue,revenuePerEmployee,revenuePerShare,sharesOutstanding,totalCash,totalRevenue,ttmDividendRate,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
0,4033000000,1981968.3,1806056.8,0.3584653939344091,Kimberly-Clark Corp.,1208000000.0,120.63,-0.003487,134.57,0.021674,-33.43,0.02959830866807611,41000,54129913999.99999,2.93,2019-06-06,343182544.8,20.08,6138000000.0,47213914000,1.807903,0.024268,0.09517,0.269505,,2019-10-22,21.17620481927711,15.108433734939759,26.28,5.22,-211.72158744394616,2.55,0.0762739370334307,18486000000.0,450878.05,53.71,344200000,539000000.0,18486000000.0,4.06,5.22,0.269622,140.61,100.32,0.269622,-0.003273,0.152772,0.227033
0,3638348230,944768.4,641034.1,0.9385326437993791,Koninklijke Philips NV,1593551100.0,39.51,0.147805,42.55,0.019056,0.4,,77400,46049209204.700005,2.15,,,22.63,9827315439.71387,,1.620539,0.088848,0.143343,0.274648,,2019-10-28,24.5634913641627,17.094406946404003,27.66,0.26,3.073273957901572,1.99,0.060151205783345325,21378245268.07387,276204.72,23.69,,1929637200.0,21378245268.07387,,1.7016,0.063743,47.39,32.98,0.063743,0.15928,0.315211,0.355805
0,1648210000,9611487.9,8851621.07,1.3249136034604225,"Tesla, Inc.",2711199000.0,281.58,0.061046,221.35,-0.108104,2.81,,48817,49770358960.0,2.32,,119904696.48,-71.71,4042021000.0,39821256960,9.688154,0.023335,-0.055618,-0.230582,,2019-11-04,478.3456790123456,218.50617283950618,-61.03,0.96,8.088419962207837,1.86,-0.045481515817238756,21461268000.0,439626.93,122.9,174624000,3878169000.0,21461268000.0,,-3.7366,-0.232654,387.46,176.99,-0.232654,-0.168788,0.26814,-0.264672
0,3100000000,836431.4,1427309.97,0.8306423834795649,"Constellation Brands, Inc.",1856700000.0,187.93,0.08682,194.24,0.01367,1.08,0.014564535111808554,9800,52588694346.48,6.48,2019-08-12,159464727.846,,4102399999.9999995,39065794346,17.217316,0.083471,-0.040557,0.214532,2019-08-12,2019-10-03,24.640473627556513,16.186221743810552,15.68,34.84,2.7171840395187634,4.81,0.4233698062989798,8115599999.999999,828122.45,48.53,167239000,93600000.0,8115599999.999999,2.97,13.0092,-0.04688,228.91,150.37,-0.04688,0.17207,1.659378,0.243111
0,11461000000,50640256.6,37162277.63,0.8878599908139232,Ford Motor Co.,53493000000.0,9.22,-0.041082,10.03,-0.04491,4.29,0.06269592476489028,199000,158446204300.0,0.99,2019-07-22,3912547180.44,7.36,22756000000.0,38184204300,0.386364,-0.061765,-0.072674,0.105081,,2019-10-23,8.061068702290076,5.65648854961832,17.35,4.69,1.0437697400645665,0.24,0.022932804450598112,160338000000.0,805718.59,40.91,3918990000,33951000000.0,160338000000.0,0.6,0.5515,-0.036254,10.56,7.41,-0.036254,-0.068284,-0.329237,0.211392
0,6779000000,6051472.4,7181589.97,0.5845098381046123,The Kraft Heinz Co.,398000000.0,39.95,0.050808,30.57,0.011432,0.6,0.07849293563579278,38000,68892089000.0,2.62,2019-05-30,946972325.3,11.5,9101000000.0,38855089000,-0.273392,0.035099,-0.042681,-0.320896,,2019-07-31,20.183229813664596,8.372670807453417,-3.8,0.12,0.7521747101070523,1.48,-0.38800060910613676,26268000000.0,691263.16,21.53,1219940000,1131000000.0,26268000000.0,2.5,-8.39,-0.47145699999999996,64.99,26.96,-0.471457,-0.633773,-0.422046,-0.265113
0,4326000000,3462039.8,5366347.23,0.8040859289908509,Johnson Controls International Plc,1341000000.0,35.83,0.031289,40.21,0.004878,0.52,0.02524271844660194,122000,47789442800.0,1.52,2019-06-21,895938780.332,21.57,9359000000.0,37000442800,-0.28393,0.016531,0.103966,0.260324,,2019-07-31,18.18103448275862,12.193965517241377,16.03,-0.4,1.7482726705726706,1.18,0.06885350318471338,31400000000.0,257377.05,34.96,898069000,206000000.0,31400000000.0,1.04,2.5694,0.14254,42.18,28.29,0.14254,-0.05783,-0.078741,0.35082
0,1367198000,2035172.9,2232544.27,0.7818892240769768,Monster Beverage Corp.,11700000.0,57.94,0.063101,63.89,0.026287,0.0,,3142,34494692200.0,9.06,,390509347.008,31.35,2295375000.0,35441155200,708.173273,0.025641,0.110922,0.173506,,2019-08-12,34.49307955960267,24.80716508248616,34.87,1.27,9.81504483230086,9.31,0.26082381645431807,3807183000.0,1211706.87,7.0,543576000,958163000.0,3807183000.0,,1.87,0.075375,66.38,47.74,0.075375,0.291667,1.882168,0.337162
0,2092344000,2020737.3,1750452.37,1.072842446886008,VF Corp.,670318000.0,84.56,0.015471,86.99,0.020382,0.65,0.02245796185532107,75000,37435361380.0,2.73,2019-09-09,395922838.62,,6950391000.0,35192170380,9.089761,0.02203,-0.062229,0.058662,2019-09-09,2019-10-21,28.16690371390789,19.504854870754567,30.56,-1.67,8.187051154398402,2.57,0.09200272314599606,13692986000.0,182573.15,34.48,397158000,543011000.0,13692986000.0,1.99,2.8998,-0.036534,97.0,67.17,-0.036534,0.707787,0.539951,0.241906
0,3534200000,3395451.7,4405816.63,0.2483582464610979,"General Mills, Inc.",2865200000.0,47.17,0.004306,52.58,0.022493,2.05,0.036539895600298286,40000,46322434400.0,2.75,2019-07-09,600134255.3199999,,5824000000.0,32289134400,1.248689,0.027193,0.053004,0.231688,,2019-09-18,17.000000000000004,11.310559006211182,18.4,3.64,4.5770975122262385,1.91,0.10392405663733606,16865200000.0,421630.0,28.02,601960000,456700000.0,16865200000.0,1.96,2.9145,0.19253,54.74,36.42,0.19253,-0.103659,-0.039036,0.395785
0,1975532000,1592188.7,1354732.47,0.2092369542139128,The Hershey Co.,1203316000.0,117.11,0.105986,137.14,0.040256,3.19,0.018878284743103674,16420,35811787885.46,4.6,2019-05-23,148228814.97,26.56,3517269000.0,32061361305,2.936326,0.134193,0.230633,0.457646,0000-00-00,2019-10-24,26.882661996497372,16.59894921190893,25.65,1.72,16.292502722129715,4.1,0.1511425453939633,7791068999.999999,474486.54,52.3,148186000,587998000.0,7791068999.999999,2.888,5.9647,0.577276,153.5,95.8,0.577276,0.155514,0.275955,0.450873
0,4217000000,2086094.8,2665875.73,0.563271434047661,"Tyson Foods, Inc.",1911000000.0,67.57,-0.011354,80.63,-0.004303,0.77,0.01759693751543591,121000,33475227920.0,0.84,2019-08-29,287190391.89599997,13.66,5296000000.0,23873227920,8.740834,0.016698,0.091375,0.310356,2019-08-29,2019-08-05,14.385665529010238,8.493174061433447,14.08,-2.56,1.864658901819886,0.6,0.07553579457461158,40034000000.0,330859.5,135.8,294804000,271000000.0,40034000000.0,1.425,5.7521,0.274072,84.3,49.77,0.274072,0.295393,0.964058,0.517901
0,3611000000,2238354.8,1587174.97,0.950436381407149,"PACCAR, Inc.",5076800000.0,65.38,0.023565,70.02,0.036293,1.16,0.016743407283382167,28000,30313521000.0,1.29,2019-08-13,339970674.9,10.54,3522500000.0,24819321000,3.630951,0.013863,0.004907,0.169168,2019-08-13,2019-10-22,10.751104565537554,7.868924889543446,10.85,0.91,2.8883521279195614,1.06,0.09340413852968585,23501100000.0,839325.0,67.86,346300000,4456300000.0,23501100000.0,1.2,6.6076,0.08475899999999999,73.0,53.43,0.084759,0.046894,0.104167,0.23868
