,accountsPayable,capitalSurplus,commonStock,currentAssets,currentCash,currentLongTermDebt,goodwill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,propertyPlantEquipment,receivables,retainedEarnings,shareholderEquity,shortTermInvestments,symbol,totalAssets,totalCurrentLiabilities,totalLiabilities,treasuryStock
2019-03-31,235000000,1008000000,5000000,4379000000.0,1728000000,,2522000000,1989000000,1361000000,6578000000.0,15000000,0.0,-6218000000.0,72000000,255000000,749000000.0,164000000,1841000000,970000000,3495000000,2317000000.0,65000000,ZTS,10883000000.0,1082000000.0,8566000000.0,1593000000
2019-03-31,356700000,55742800000,,6289300000.0,788500000,3971800000,43336600000,42264600000,943200000,19969300000.0,57900000,700000.0,-106344700000.00002,2818800000,831200000,4277700000.0,594400000,2236500000,2731200000,4582800000,61542000000.0,995200000,AGN,98036300000.0,8849200000.0,36476700000.0,
2019-03-31,1918489406.87537,14909265031.3954,14849211726.9729,27561620815.8287,6343163030.2209015,19379319.691014998,37596810769.30029,43911713420.969406,8914884582.3734,44660712833.7173,2772724398.06658,-281439.477182579,-84403171161.40399,790278720,5325256358.13344,10769363509.0573,1767122920,11894394000.9938,5941916248.8142,14178660161.7202,46615006550.119705,210290463.929168,TAK,125331544473.054,22685377422.415,78680345123.5488,516257848.850341
2019-03-31,2693000000,,3000000,11108000000.0,531000000,3796000000,0,8159000000,1778000000,32513000000.0,584000000,142000000.0,-4354000000.0,588000000,1289000000,3732000000.0,1277000000,22940000000,7420000000,-3983000000,-4354000000.0,90000000,HCA,43379000000.0,10531000000.0,45634000000.0,
2019-06-30,377100000,,100000,7909800000.0,1723399999.9999998,,5749200000,3681300000,776700000,6371500000.0,1309300000,0.0,-6972400000.000001,1306000000,1663800000,2406600000.0,1355800000,3511900000,2517100000,16182800000,12952900000.0,1228800000,BIIB,26287600000.0,3210900000.0,13338800000.0,2977100000
2019-03-31,137000000,3385000000,2000000,4545000000.0,2270000000,631000000,831000000,175000000,412000000,1830000000.0,268000000,-9000000.0,3154000000.0,58000000,61000000,338000000.0,212000000,1426000000,457000000,3298000000,3985000000.0,1345000000,ILMN,7390000000.0,1241000000.0,3283000000.0,2702000000
2019-06-30,151000000,1512300000,216900000,2354700000.0,726800000,,1173900000,385599999.9999999,624900000,644500000.0,412900000,0.0,2326400000.0,80300000,185900000,507600000.0,592200000,1002300000,609600000,3186700000,3500300000.0,207500000,EW,5573500000.0,697000000.0,2073199999.9999998,1277400000
2019-03-31,82262000,7475909000,2561000,4183038999.9999995,2893885000,35725000,50384000,0,136698000,623865000.0,,0.0,4672929000.0,39041000,130008999.99999999,980961000.0,89468000,803132000,438297000,-2761157000,4723313000.0,584150000,VRTX,6543114000.0,1106468000.0,1819801000.0,
2019-03-31,,2722000000,33000000,15708000000.0,,,3897000000,228000000,,4704000000.0,1048000000,0.0,2218000000.0,4876000000,,9653000000.0,4415000000,2170000000,,15563000000,10841000000.0,9876000000,HUM,28349000000.0,11493000000.0,17508000000.0,7467000000
2019-03-31,239600000,4160899999.9999995,100000,6928600000.0,1708500000,,0,0,1208800000,709900000.0,2339800000,0.0,9444700000.0,144300000,182200000,1271800000.0,1188800000,2612800000,2305200000,5725100000,9444700000.0,1523900000,REGN,12854800000.0,1511400000.0,3410100000.0,444200000
2019-06-30,2139000000,,10964000000,3978000000.0,938000000,100000000,11937000000,5701000000,,11697000000.0,152000000,11000000.0,-5414000000.0,242000000,519000000,990000000.0,424000000,956000000,2401000000,925000000,6523000000.0,56000000,IQV,23068000000.0,3495000000.0,16287000000.0,5151000000
2018-12-31,748000000,,,3399000000.0,227000000,47000000,8899000000,10679000000,1440000000,89000000.0,46000000,0.0,-14651000000.0,326000000,186000000,947000000.0,210000000,2879000000,1406000000,22650000000,22639000000.0,,ALC,27062000000.0,1893000000.0,4423000000.0,
2019-06-30,719200000,8677000000,,4168500000.0,1984199999.9999998,126600000,5037400000,3487600000.0000005,494600000,2603800000.0,1100000,0.0,-4682600000.0,540100000,460700000,185700000.0,427700000,1333000000,1123600000,3283200000,10163500000.0,105400000,ALXN,14567700000.0,1031500000.0,4404200000.0,1738800000
