,EBITDA,avg10Volume,avg30Volume,beta,companyName,currentDebt,day200MovingAvg,day30ChangePercent,day50MovingAvg,day5ChangePercent,debtToEquity,dividendYield,employees,enterpriseValue,enterpriseValueToRevenue,exDividendDate,float,forwardPERatio,grossProfit,marketcap,maxChangePercent,month1ChangePercent,month3ChangePercent,month6ChangePercent,nextDividendDate,nextEarningsDate,peHigh,peLow,peRatio,pegRatio,priceToBook,priceToSales,profitMargin,revenue,revenuePerEmployee,revenuePerShare,sharesOutstanding,totalCash,totalRevenue,ttmDividendRate,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
0,10536000000,5840693.9,6212116.07,0.8675236737289599,"Gilead Sciences, Inc.",2748000000.0,67.06,0.008439,66.53,0.030966,1.28,0.03496712492528392,11000,81462795200.0,3.67,2019-06-13,1264905926.52,9.71,17361000000,85092795200,11.699812,-0.002385,0.030807,-0.014578,,2019-07-30,11.454676258992805,8.679136690647482,14.65,0.77,3.978715818020293,3.83,0.24556585936796615,22214000000,2019454.55,17.47,1271560000,30952000000,22214000000,2.34,4.5682,-0.12875899999999998,79.61,60.32,-0.128759,0.007142,-0.140663,0.054855
0,3827000000,1084348.5,1019184.2,0.9347285547279975,Stryker Corp.,1373000000.0,182.31,0.097099,198.76,0.028587,0.84,0.009466076008393564,36000,86172367250.0,6.34,2019-06-27,352021209.555,26.15,8600000000,80012367250,4.497769,0.058803,0.145016,0.323765,,2019-10-24,28.795601552393272,18.72574385510996,22.58,1.8,6.821173678601875,5.88,0.2612307918535402,13601000000,377805.56,36.45,373105000,3699000000,13601000000,2.03,9.4974,0.26863499999999996,222.59,144.75,0.268635,0.416537,1.405188,0.388026
0,,1486326.5,1477089.23,0.8464092651642765,"Anthem, Inc.",1994000000.0,280.65,0.051381,285.94,-0.005965,0.67,0.01033402226815121,63900,95950983660.0,,2019-09-09,255308179.987,15.52,,76739983660,3.925756,0.062177,0.126516,0.110996,2019-09-09,2019-10-23,18.793735224586293,13.425531914893618,18.97,2.07,2.688762960653096,,,,0.0,,255817000,,,3.1,15.81,0.20242100000000002,317.99,227.16,0.202421,0.494189,1.5654,0.1763
0,7097000000,15516210.2,14586491.67,0.8860581674987457,Bristol-Myers Squibb Co.,1703000000.0,49.17,-0.046047,46.02,0.06079,0.52,0.03592682389243994,23300,72678070100.0,3.22,2019-07-03,1633895407.58,10.78,16075000000,74214884900,1.201373,0.005987,-0.020509,-0.061051,,2019-10-28,14.777262180974475,9.856148491879349,11.9,0.71,5.289351072624902,3.29,0.21807543991844333,22561000000,968283.26,13.79,1635730000,8884000000,22561000000,1.63,3.8122,-0.20291599999999999,63.69,42.48,-0.202916,-0.124499,-0.05259,-0.134656
0,13490000000,5991882.1,7547007.27,0.8214253797369582,CVS Health Corp.,1985000000.0,62.24,0.025291,54.55,0.001081,1.26,0.036010082823190494,295000,138993458600.0,0.71,2019-07-24,1295834480.4599998,8.12,31537000000,72151458600,3.804754,0.014615,0.028709,-0.148682,,2019-08-07,11.440111420612814,7.203342618384402,-126.23,-13.34,1.2391834881923571,0.37,-0.003068178314095119,194578000000,659586.44,149.78,1299090000,6587000000,194578000000,2,-0.44,-0.16694199999999998,82.14,51.72,-0.166942,-0.301666,-0.254282,-0.153095
0,4096000000,733455.7,973672.93,0.8864108755537365,"Becton, Dickinson & Co.",2601000000.0,240.22,0.086394,243.9,0.007445,1.02,0.011950155273399113,76032,88859123480.0,5.56,2019-09-06,268921185.608,21.76,7262000000,68617123480,5.822654,0.021032,0.074691,0.051894,2019-09-06,2019-08-06,23.887690925426774,18.743935309973043,73.52,-32.53,3.2684159035915017,4.29,0.019458174310204593,15983000000,210214.12,59.26,269732000,1253000000,15983000000,3.04,3.46,0.016747,265.87,208.62,0.016747,0.3061,1.067973,0.155898
0,7420000000,4036887.3,4415103.3,0.8108902127193605,Celgene Corp.,501000000.0,85.9,-0.038856,94.13,0.036772,3.29,,8852,79647917600.0,5.21,,704239488.78,8.64,14236000000,65419917600,27.797015,0.00444,-0.01945,0.06303,,2019-07-30,10.539936102236421,6.23961661341853,13.78,0.56,10.618392728453173,4.28,0.2646000915571251,15291000000,1727406.24,21.68,705260000,6042000000,15291000000,,6.7336,0.073238,98.97,58.59,0.073238,-0.184944,0.32833,0.391957
0,,1822391.1,2017993.57,0.8991869851849313,Cigna Corp.,2955000000.0,180.5,0.05612,160.55,-0.019401,1.04,0.00023909145248057382,73800,105961323400.0,,2019-03-08,373892110.056,10.12,,63483323400,9.278317,0.059598,0.041265,-0.142403,,2019-08-01,16.082327892122073,10.074520936834634,15.68,-3.07,1.5473170371453642,,,,0.0,,379458000,,,0.04,10.67,-0.056135000000000004,226.6,141.95,-0.056135,-0.018238,0.860138,-0.10616
0,1364700000,728978.6,657380.2,1.5452787198202098,"Intuitive Surgical, Inc.",,518.48,0.062613,509.96,-0.014697,0.0,,5527,57747840390.0,15.51,,114160862.572,43.53,2598300000,60810940390,110.834957,0.019063,0.033879,0.062207,,2019-10-17,50.58540772532189,36.93047210300429,50,2.82,9.105069831406839,16.33,0.3028569894205467,3724200000.0000005,673819.43,32.31,115253000,3063100000,3724200000.0000005,,10.5535,0.016217,589.32,430.24,0.016217,0.814294,3.321972,0.13218
0,2631000000,6015856.3,6340481.5,1.171028849102008,Boston Scientific Corp.,2253000000,38.08,0.041069,40.93,-0.009882,0.81,,32000,64773552000.0,6.59,,1386736710.8999999,26.97,6477000000,58518552000,0.791896,0.003577,0.145658,0.141927,,2019-10-23,29.499999999999996,21.324324324324323,41.66,-8.54,6.706228741691496,5.96,0.17011096406393159,9823000000,306968.75,7.06,1390650000,801000000,9823000000,,1.01,0.24607600000000002,43.66,31.56,0.246076,0.416067,1.92639,0.221126
